bottle_label,Zone,distance_from_tributary_m,CH4_umol_gDW_d,CH4_umol_gAFDM_d,CO2_umol_gDW_d,CO2_umol_gAFDM_d
SB-1A,Riverine,57.8524,0.004775568,0.005862728,1.977330507,2.427470854
SB-1B,Riverine,182.9182,0.031341006,0.173363812,3.276922432,18.12640458
SB-1C,Transitional,260.6328,0.039277216,0.199367273,1.63775332,8.313074252
SB-1D,Transitional,380.2656,0.075842237,0.369747414,6.182499698,30.14103161
SB-1E,Transitional,515.3844,0.126142249,0.612801895,3.326040918,16.15798188
SB-1F,Transitional,630.2066,0.040829622,0.169560921,5.193936104,21.56984443
SB-1G,Transitional,724.0119,0.066074391,0.343285254,3.561785255,18.50502657
SB-1H,Lacustrine,836.2307,0.036218088,0.197625275,1.558195816,8.502350532
SB-1I,Lacustrine,943.4496,0.310679347,0.586934025,15.42373497,29.13845069
SB-1J,Lacustrine,1020.204,0.210514888,0.47834672,10.68959263,24.28964342
