ch4_erate_mg_h,co2_erate_mg_h,n2o_erate_mg_h,lake_id,site_id
12.82389727,0.223995562,1.67E-05,1000,2
10.47639988,0.226045716,1.73E-05,1000,2
10.46892612,0.213510358,1.75E-05,1000,2
10.74017445,0.480968956,4.28E-06,1000,3
10.85043514,0.454508011,4.69E-06,1000,3
10.62678603,0.467295672,4.47E-06,1000,3
0.066405697,0.002144298,1.03E-07,1000,4
6.58928067,0.237593354,3.73E-06,1000,5
6.423635967,0.236829429,2.89E-06,1000,5
6.254720123,0.226873355,3.40E-06,1000,5
0.280450371,0.021506426,8.17E-07,1000,6
0.277380898,0.020817711,9.00E-07,1000,6
0.268979591,0.021104511,8.27E-07,1000,6
0.985467165,0.040464054,5.31E-07,1000,7
0.961155061,0.041663658,4.16E-07,1000,7
0.974292672,0.04009692,6.16E-07,1000,7
0.313049903,0.014410743,1.10E-06,1000,8
0.300957866,0.015109203,1.08E-06,1000,8
0.293342757,0.014511935,1.10E-06,1000,8
8.129318034,0.229909611,5.53E-06,1000,9
7.615984961,0.238425324,4.72E-06,1000,9
7.671757393,0.217351979,5.47E-06,1000,9
14.52052503,0.361339499,6.33E-06,1000,10
12.70761464,0.355952612,6.97E-06,1000,10
12.6752382,0.386212915,6.63E-06,1000,10
12.24050913,0.358772001,1.30E-05,1000,11
11.16994412,0.336649122,1.39E-05,1000,11
11.68846741,0.371297737,1.28E-05,1000,11
3.396426493,0.114932793,2.00E-06,1000,12
3.430134024,0.119902586,1.93E-06,1000,12
3.402219767,0.118142713,2.08E-06,1000,12
7.622372321,0.315383065,3.11E-06,1000,13
7.474397736,0.308838361,4.45E-06,1000,13
7.674375377,0.30683214,4.06E-06,1000,13
0.784246175,0.040544535,-5.82E-08,1000,14
0.758756684,0.028640498,1.41E-06,1000,14
0.776750852,0.021695386,5.66E-07,1000,14
9.495009652,0.350300674,4.09E-06,1000,15
9.529601509,0.362723508,4.10E-06,1000,15
9.484202304,0.366280936,4.68E-06,1000,15
14.40087124,0.316177083,3.00E-05,1000,16
14.44983909,0.319933079,2.97E-05,1000,16
14.3858987,0.304682321,2.96E-05,1000,16
7.725062265,0.355310045,4.53E-06,1000,17
8.163257778,0.36437182,5.59E-06,1000,17
7.795854999,0.338907803,5.36E-06,1000,17
7.631765083,0.187794167,3.67E-06,1000,18
7.691532253,0.19764658,3.51E-06,1000,18
7.63327368,0.204760828,3.41E-06,1000,18
4.756488902,0.151953062,1.33E-06,1000,19
4.404070051,0.149769607,1.73E-06,1000,19
4.359695567,0.195938356,2.11E-06,1000,19
6.061474536,0.193288499,6.91E-06,1000,20
5.511103656,0.209097832,6.97E-06,1000,20
5.277410874,0.205287769,6.93E-06,1000,20
8.595239603,0.294176523,3.43E-06,1000,21
8.590225051,0.291086435,3.13E-06,1000,21
8.574081333,0.290090521,4.03E-06,1000,21
2.999489153,0.134117133,1.89E-06,1000,22
2.959228622,0.132801093,1.04E-06,1000,22
2.940713519,0.127998903,1.22E-06,1000,22
6.055623947,0.293610286,2.70E-06,1000,23
6.064823979,0.280443161,2.65E-06,1000,23
6.50419206,0.29142567,2.20E-06,1000,23
2.025650201,0.080531583,1.07E-06,1000,24
1.989183763,0.076656345,1.11E-06,1000,24
1.97936755,0.080409604,1.04E-06,1000,24
12.99725575,0.518771016,5.66E-06,1000,25
12.8306445,0.47910168,5.73E-06,1000,25
12.75979345,0.493907317,4.91E-06,1000,25
10.66216918,0.378309617,2.05E-05,1000,26
10.63261422,0.39596554,2.06E-05,1000,26
10.63739255,0.386811766,2.04E-05,1000,26
11.25921473,0.404853656,4.67E-06,1000,27
10.73540178,0.387483688,5.51E-06,1000,27
10.62583721,0.3932002,5.11E-06,1000,27
2.964524924,0.09209473,1.38E-06,1000,28
2.971872971,0.095832246,1.06E-06,1000,28
3.170311493,0.095863074,1.43E-06,1000,28
4.335464363,0.143154706,1.86E-06,1000,29
4.350942434,0.144468112,1.92E-06,1000,29
4.339041702,0.140551935,2.03E-06,1000,29
0.118917949,0.002444362,8.47E-08,1000,30
